2MASS J02192210-3925225 b,Imaging,2015,Cerro Tololo Inter-American Observatory,,,,,4417.837,349.613,-349.613,0,,,
2MASS J04414489+2301513 b,Imaging,2010,Hubble Space Telescope,,,,,2383.6,794.5,-794.5,0,,,
2MASS J12073346-3932539 b,Imaging,2004,Paranal Observatory,,,,,1589.15,635.66,-635.66,0,64.308,0.6569,-0.644
2MASS J12073346-3932539 b,Imaging,2004,Paranal Observatory,,,,,1271,318,-318,0,64.308,0.6569,-0.644
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,Kepler,406,4,-4,0,591.16084,15.89142,-15.89142,0,396.332,6.3885,-6.3885
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,Kepler,416,2,-2,0,603.877,31.783,-31.783,0,396.332,6.3885,-6.3885
2MASS J22362452+4751425 b,Imaging,2016,W. M. Keck Observatory,,,,,3972.875,476.745,-476.745,0,69.5737,0.1592,-0.1585
30 Ari B b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.1,2.5,-2.5,0,3140.03,298.75,-298.75,0,44.657,0.1039,-0.1034
30 Ari B b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,345.4,3.8,-3.8,0,2097.678,286.047,-286.047,0,44.657,0.1039,-0.1034
30 Ari B b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,2.5,-2.5,0,4392.4106,572.094,-572.094,0,44.657,0.1039,-0.1034
4 UMa b,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27,0.24,-0.09,0,2511.48007,63.24785,-120.13914,0,73.4603,1.18605,-1.18605
4 UMa b,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.3,1.96,-1.96,0,2256.5,508.5,-508.5,0,73.4603,1.18605,-1.18605
42 Dra b,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,6.2,-6.2,0,1233.13,270.14,-270.14,0,90.6545,1.3227,-1.3227
47 UMa b,Radial Velocity,1996,Lick Observatory,1076.6,2.3,-2.3,0,778.6835,31.783,-31.783,0,13.7967,0.0289,-0.0289
47 UMa b,Radial Velocity,1996,Lick Observatory,1078,2,-2,0,804.08,22.25,-19.07,0,13.7967,0.0289,-0.0289
47 UMa b,Radial Velocity,1996,Lick Observatory,1100.8,7.2,-7.2,0,877.17,31.78,-31.78,0,13.7967,0.0289,-0.0289
47 UMa b,Radial Velocity,1996,Lick Observatory,1083.2,1.8,-1.8,0,826.32,41.32,-41.32,0,13.7967,0.0289,-0.0289
47 UMa b,Radial Velocity,1996,Lick Observatory,1076.6,1.3,-1.1,0,774.86566,27.01541,-27.01541,0,13.7967,0.0289,-0.0289
